doorIndexCode,acsDevIndexCode,regionIndexCode,doorNo,doorName,doorState,doorOutState
1493,417,261,79,C.  OUTBOUND OFFICE STAIRCASE,1,-1
3716,762,426,240,C. INBOUND MEETING ROOM,2,-1
1464,411,256,74,C. INBOUND MEETING ROOM 2,1,-1
1553,428,271,89,C. LOBBY PARKING STAIRCASE,1,-1
1592,436,277,96,C. OUTBOUND LOADING BAY OUT 1,1,-1
4733,894,503,276,CJ CONTROLLER DOOR_Door_1,1,-1
4729,893,502,275,CJ FR ENTRY_Door_1,1,-1
4741,895,501,277,CJ FR EXIT_Door_1,1,-1
1476,413,258,76,CONTROLLER BIN AREA,1,-1
1517,421,265,83,CONTROLLER FR - OUTBOUND 3,1,-1
3626,753,419,233,CONTROLLER FR CONTROL ROOM,1,-1
3982,772,435,249,CONTROLLER FR LEVEL 2 ACADEMY,2,-1
4242,777,439,254,CONTROLLER FR LVL 1 TOILET STAIR,1,-1
3266,701,322,227,CONTROLLER FR MAIN GUARD HOUSE,1,-1
3126,696,411,222,CONTROLLER FR MAIN LOBBY,0,-1
3922,769,432,246,CONTROLLER FR WAREHOUSE 2 TO STAIR,2,-1
1570,432,274,92,CONTROLLER GF TO SURAU WOMEN,2,-1
1529,423,267,85,CONTROLLER INBOUND LOADING BAY 1,1,-1
2625,583,339,169,CONTROLLER LEVEL 1 OFFICE LOBBY_,1,-1
2657,591,345,175,CONTROLLER LEVEL 1 SMALL DOOR OF,2,-1
3861,765,429,243,CONTROLLER LEVEL 1 WAREHOUSE POISON,2,-1
3249,698,413,224,CONTROLLER LEVEL 2 EXIT TO STAIR (HQ),1,-1
3406,703,416,229,CONTROLLER LEVEL 2 GLASS DOOR OF,2,-1
2608,580,336,166,CONTROLLER LEVEL2 TO GF STAIRCAS,2,-1
4467,832,483,265,CONTROLLER LVL 2 BACK DOOR_Door_,1,-1
4484,835,486,268,CONTROLLER LVL 2 MAIN ENTRANCE_D,2,-1
2435,573,332,162,CONTROLLER LVL 2 SERVER ROOOM,1,-1
4186,776,438,253,CONTROLLER MAIN GUARD HOUSE EXI,1,-1
2557,574,333,163,CONTROLLER MAIN LOBBY (SMALL),0,-1
3699,759,423,237,CONTROLLER OFFICE OUTBOUND,1,-1
4711,889,499,272,CONTROLLER VIP ROOM_Door_1,1,-1
4448,828,5,261,FR - TURNSTILE 1,1,-1
1484,415,259,77,FR (IN) BIN AREA,1,-1
1578,433,275,93,FR (IN) GF TO SURAU WOMEN,1,-1
3712,761,425,239,FR (IN) INBOUND MEETING ROOM,1,-1
1472,412,257,75,FR (IN) INBOUND MEETING ROOM 2,1,-1
2790,594,348,178,FR (IN) LOBBY PARKING STAIRCASE,1,-1
4255,779,441,256,FR (IN) LVL 1 TOILET STAIRCASE_D,1,-1
1605,438,279,98,FR (IN) OUTBOUND OFFICE 1,1,-1
